customer_id,segment,support_channel,response_time_hours,resolution_time_hours,contacts_last_30d,satisfaction_score,retained_next_period
C00109,SMB,Email,20.92,55.61,1,3.67,1
C00110,Mid-Market,Phone,16.61,21.68,4,4.51,1
C00111,SMB,Email,3.27,7.73,3,3.66,1
C00112,SMB,Email,1.56,3.28,3,3.94,1
C00113,Enterprise,Email,9.42,30.79,4,3.72,0
C00114,Mid-Market,Chat,4.46,13.95,1,4.0,1
C00115,Mid-Market,Chat,4.76,14.58,1,4.59,1
C00116,SMB,Email,3.85,13.01,4,4.04,1
C00117,SMB,Chat,6.9,10.23,6,3.58,0
C00118,Mid-Market,Phone,13.69,46.14,2,3.61,0
C00119,Mid-Market,Phone,3.25,9.71,2,3.68,0
C00120,Mid-Market,Phone,14.31,48.51,2,3.66,0
C00121,Mid-Market,Phone,1.68,4.79,4,3.66,1
C00122,Mid-Market,Email,6.4,18.25,5,3.81,1
C00123,SMB,Email,12.33,16.39,4,4.41,0
C00124,SMB,Email,33.8,86.27,4,3.44,0
C00125,SMB,Email,11.24,26.74,3,3.99,1
C00126,Mid-Market,Chat,8.59,19.8,1,3.63,1
C00127,Mid-Market,Email,21.9,32.11,1,4.07,1
C00128,SMB,Email,9.74,29.32,1,3.7,1
C00129,SMB,Phone,24.71,45.85,3,3.47,1
C00130,Enterprise,Phone,9.82,15.16,3,3.94,1
C00131,SMB,Phone,5.05,15.4,5,4.1,0
C00132,SMB,Email,10.84,41.0,3,3.69,1
C00133,SMB,Phone,4.55,10.65,3,4.62,1
C00134,SMB,Phone,10.5,28.24,3,3.77,0
C00135,SMB,Chat,21.55,56.71,4,3.82,0
C00136,SMB,Phone,3.88,12.5,0,3.72,0
C00137,SMB,Phone,9.56,32.85,3,3.6,0
C00138,SMB,Email,7.42,15.8,4,3.87,0
C00139,SMB,Chat,4.51,12.89,3,4.24,1
C00140,Mid-Market,Email,21.33,32.95,3,3.38,0
C00141,SMB,Chat,5.07,12.46,2,4.37,1
C00142,SMB,Email,4.7,7.98,3,3.88,1
C00143,Mid-Market,Email,22.83,36.41,4,4.28,0
C00144,SMB,Chat,40.51,93.83,3,3.86,0
C00145,Mid-Market,Email,5.7,8.16,3,4.6,1
C00146,SMB,Phone,36.23,89.74,3,3.3,0
C00147,SMB,Chat,5.72,7.6,0,4.25,1
C00148,SMB,Phone,12.22,18.0,4,3.73,0
C00149,Mid-Market,Email,31.44,93.82,4,3.28,1
C00150,Mid-Market,Email,28.63,66.18,2,3.54,1
C00151,Mid-Market,Email,11.03,25.63,2,4.63,1
C00152,SMB,Chat,18.05,65.97,5,3.68,1
C00153,Mid-Market,Phone,8.41,14.38,5,4.17,1
C00154,SMB,Phone,14.43,37.17,2,3.7,0
C00155,SMB,Phone,22.69,38.2,2,3.44,1
C00156,SMB,Email,15.69,21.45,4,3.56,0
C00157,SMB,Email,9.46,11.93,1,4.41,1
C00158,SMB,Chat,18.23,39.12,3,3.9,1
C00159,SMB,Phone,25.94,78.19,2,3.1,0
C00160,SMB,Email,8.65,14.32,2,3.86,1
C00161,Mid-Market,Phone,10.94,41.46,7,3.56,0
C00162,SMB,Email,2.44,5.98,4,3.82,1
C00163,Mid-Market,Phone,18.91,30.12,1,4.06,0
C00164,Mid-Market,Email,5.98,12.39,5,2.99,0
C00165,Mid-Market,Chat,5.03,6.4,3,3.7,1
C00166,SMB,Phone,8.36,10.83,3,4.62,1
C00167,SMB,Email,8.78,30.33,5,3.75,1
C00168,SMB,Chat,4.67,11.28,5,4.17,1
C00169,SMB,Phone,15.75,37.76,1,4.12,0
C00170,Mid-Market,Phone,13.86,21.88,2,3.92,1
C00171,Mid-Market,Email,3.91,8.41,3,4.42,1
C00172,SMB,Email,5.04,17.02,3,3.94,1
C00173,Enterprise,Phone,13.9,38.15,6,4.55,1
C00174,SMB,Phone,7.89,23.12,1,3.96,0
C00175,SMB,Email,15.18,54.64,0,4.4,0
C00176,SMB,Chat,2.84,4.23,2,4.06,0
C00177,SMB,Email,8.15,17.79,3,3.62,0
C00178,Enterprise,Phone,43.61,87.06,2,3.52,0
C00179,SMB,Chat,10.77,23.62,0,4.45,1
C00180,Mid-Market,Phone,16.88,63.66,1,3.65,0
C00181,SMB,Email,23.76,86.98,4,3.22,1
C00182,SMB,Phone,4.04,9.87,2,3.14,1
C00183,Mid-Market,Phone,17.97,52.35,4,3.09,1
C00184,Mid-Market,Email,2.61,7.09,3,4.03,0
C00185,SMB,Email,5.68,18.82,1,4.52,1
C00186,SMB,Chat,17.37,43.58,3,3.01,0
C00187,Mid-Market,Phone,3.94,12.31,2,3.81,1
C00188,SMB,Chat,6.34,11.57,4,4.53,1
C00189,SMB,Email,19.45,35.3,2,3.59,1
C00190,SMB,Email,15.24,25.01,1,5.0,1
C00191,SMB,Email,27.39,85.44,4,3.68,1
C00192,SMB,Email,9.38,13.79,3,3.69,1
C00193,SMB,Chat,11.57,15.51,5,4.18,1
C00194,SMB,Email,8.3,27.8,4,4.02,0
C00195,SMB,Chat,15.19,41.77,0,4.41,1
C00196,SMB,Phone,7.99,16.39,2,3.83,0
C00197,SMB,Email,5.38,17.68,0,4.02,1
C00198,Mid-Market,Email,14.78,36.9,3,3.86,1
C00199,SMB,Phone,21.86,80.97,4,3.59,1
C00200,SMB,Phone,4.25,15.84,2,3.91,0
C00201,SMB,Email,2.84,5.21,4,4.3,1
C00202,SMB,Email,9.57,16.76,1,4.05,1
C00203,SMB,Chat,13.39,47.62,4,3.61,0
C00204,SMB,Email,3.05,4.26,0,4.46,1
C00205,Mid-Market,Email,12.88,24.0,2,3.28,1
C00206,SMB,Email,9.87,36.54,4,2.97,1
C00207,SMB,Phone,7.0,23.12,4,4.09,1
C00208,Enterprise,Phone,7.27,25.44,2,3.99,1
C00209,SMB,Email,4.83,11.97,4,4.12,1
C00210,Mid-Market,Email,15.63,43.35,6,3.73,1
C00211,Mid-Market,Phone,27.98,83.23,2,3.07,0
C00212,SMB,Email,9.3,31.55,3,3.33,0
C00213,Mid-Market,Email,9.78,33.27,3,4.23,1
C00214,SMB,Chat,4.81,7.78,4,4.15,1
C00215,SMB,Email,10.08,37.67,0,3.77,0
C00216,SMB,Chat,13.6,46.33,3,3.25,0
C00217,Mid-Market,Chat,18.4,39.12,1,4.07,0
C00218,SMB,Email,7.96,20.21,2,4.5,1
C00219,Enterprise,Email,18.63,68.74,0,3.19,1
C00220,Enterprise,Email,10.58,36.14,3,4.38,1
C00221,SMB,Phone,12.85,29.98,5,3.96,0
C00222,Mid-Market,Email,10.16,23.98,2,3.87,0
C00223,SMB,Email,31.26,92.26,2,3.65,1
C00224,SMB,Phone,7.1,8.98,1,4.34,1
C00225,SMB,Email,22.42,84.38,3,3.45,0
C00226,Mid-Market,Chat,26.61,32.51,3,4.04,1
C00227,SMB,Email,20.8,40.58,3,3.74,1
C00228,Enterprise,Phone,8.31,19.17,1,4.16,0
C00229,Mid-Market,Email,18.64,32.42,1,4.05,0
C00230,SMB,Email,25.76,73.67,4,3.27,1
C00231,SMB,Phone,14.33,17.99,3,3.87,1
C00232,SMB,Email,3.75,4.69,3,3.56,0
C00233,SMB,Email,6.84,18.97,2,3.91,0
C00234,Mid-Market,Chat,16.93,27.53,4,3.9,0
C00235,SMB,Email,3.11,10.94,6,4.66,1
C00236,SMB,Email,31.47,49.15,5,3.57,0
C00237,Mid-Market,Email,4.79,7.83,1,4.13,1
C00238,SMB,Email,27.31,41.94,1,3.6,1
C00239,SMB,Email,15.85,57.51,2,3.53,1
C00240,SMB,Email,20.64,28.19,4,3.35,0
C00241,SMB,Email,13.97,20.91,1,3.83,0
C00242,Mid-Market,Chat,3.8,7.7,2,4.05,1
C00243,Enterprise,Email,5.51,8.75,4,3.9,1
C00244,SMB,Phone,8.85,13.32,4,3.59,0
C00245,Mid-Market,Email,5.23,8.62,2,3.78,1
C00246,Mid-Market,Phone,21.02,75.96,1,3.53,1
C00247,SMB,Phone,25.19,53.39,1,3.72,0
C00248,Mid-Market,Phone,2.88,9.19,2,4.0,1
C00249,Mid-Market,Phone,10.25,29.73,3,3.97,0
C00250,SMB,Phone,23.56,84.41,4,4.0,0
C00251,Mid-Market,Email,37.58,67.8,2,3.06,0
C00252,SMB,Email,32.53,112.3,2,3.84,1
C00253,Enterprise,Phone,11.8,38.81,3,4.25,1
C00254,Mid-Market,Email,11.35,33.41,1,4.08,1
C00255,Mid-Market,Chat,3.66,9.57,4,4.14,1
C00256,Mid-Market,Email,9.52,15.1,2,4.42,1
C00257,Mid-Market,Email,18.36,60.21,2,4.17,1
C00258,Mid-Market,Phone,32.47,60.0,1,4.36,1
C00259,Mid-Market,Email,12.18,18.61,2,3.31,1
C00260,Mid-Market,Email,28.05,89.98,4,2.95,1
C00261,SMB,Email,5.41,17.75,2,4.23,1
C00262,SMB,Email,15.12,55.34,4,3.84,1
C00263,SMB,Chat,5.15,7.12,4,4.2,1
C00264,Mid-Market,Chat,8.68,16.26,3,4.53,0
C00265,Mid-Market,Phone,10.61,33.48,1,3.94,1
C00266,SMB,Email,11.42,32.93,5,3.99,0
C00267,SMB,Phone,7.9,14.34,5,3.96,1
C00268,SMB,Phone,19.45,56.66,6,3.73,0
C00269,SMB,Email,21.72,79.2,0,3.74,1
C00270,Mid-Market,Email,6.74,15.42,4,4.45,0
C00271,Mid-Market,Email,1.21,3.79,2,4.76,1
C00272,Mid-Market,Phone,4.71,15.6,4,3.37,0
C00273,SMB,Email,8.35,15.83,1,3.29,1
C00274,SMB,Phone,5.16,15.6,2,3.77,1
C00275,SMB,Email,4.45,9.45,3,4.2,1
C00276,SMB,Email,6.53,17.24,2,4.08,1
C00277,Mid-Market,Email,9.86,30.73,4,4.13,0
C00278,Mid-Market,Email,1.05,1.27,1,4.67,1
C00279,SMB,Email,33.79,58.12,2,3.3,1
C00280,SMB,Email,34.1,107.74,3,3.38,0
C00281,SMB,Chat,7.85,26.26,1,3.64,1
C00282,SMB,Email,11.94,22.25,2,4.32,1
C00283,Mid-Market,Email,6.42,8.49,1,3.88,1
C00284,SMB,Phone,9.08,22.47,2,4.12,1
C00285,Mid-Market,Email,12.83,46.19,2,3.43,1
C00286,Enterprise,Email,15.3,25.84,3,3.55,1
C00287,SMB,Email,24.22,75.24,1,3.64,0
C00288,SMB,Phone,39.33,125.54,1,3.48,0
C00289,Mid-Market,Email,28.08,78.29,0,3.02,1
C00290,SMB,Email,6.57,22.1,1,4.21,1
C00291,Enterprise,Email,18.32,48.79,3,4.04,1
C00292,SMB,Phone,13.14,43.46,4,4.08,0
C00293,SMB,Email,30.75,80.46,2,3.21,0
C00294,SMB,Chat,14.96,49.73,1,3.98,1
C00295,SMB,Phone,3.54,13.36,2,4.01,1
C00296,SMB,Phone,38.93,106.06,1,3.69,1
C00297,Enterprise,Email,2.78,9.65,1,4.41,1
C00298,SMB,Email,20.04,35.94,1,3.67,1
C00299,Enterprise,Email,9.02,12.78,3,4.42,1
C00300,SMB,Chat,21.93,71.41,3,3.7,0
C00301,Mid-Market,Email,5.03,12.6,2,4.55,1
C00302,SMB,Email,10.79,36.34,3,4.1,1
C00303,SMB,Phone,6.15,20.23,0,3.81,1
C00304,SMB,Email,11.21,35.29,5,4.2,1
C00305,Mid-Market,Phone,7.84,16.36,4,3.39,1
C00306,Mid-Market,Email,4.42,9.82,5,3.85,0
C00307,Mid-Market,Phone,5.29,12.04,4,4.09,1
C00308,SMB,Phone,9.61,20.42,0,4.47,0
C00309,Mid-Market,Email,5.53,19.14,2,4.29,0
C00310,SMB,Chat,4.66,12.07,0,4.09,1
C00311,SMB,Email,2.44,3.03,0,3.91,1
C00312,Mid-Market,Phone,13.11,18.34,2,4.16,0
C00313,SMB,Chat,16.41,41.43,0,3.79,1
C00314,Mid-Market,Email,12.57,22.07,4,3.6,1
C00315,SMB,Email,10.53,19.07,1,3.99,1
C00316,SMB,Email,7.37,17.37,4,4.07,0
C00317,SMB,Chat,13.01,35.4,1,3.64,0
C00318,SMB,Email,9.16,23.28,2,3.4,1
C00319,SMB,Phone,11.75,30.05,3,3.57,1
C00320,Mid-Market,Phone,9.17,18.43,1,3.38,0
C00321,SMB,Phone,18.55,25.3,3,3.99,1
C00322,Enterprise,Chat,6.07,20.05,1,3.79,1
C00323,Mid-Market,Phone,8.79,17.02,2,4.58,1
C00324,SMB,Email,9.87,27.08,2,3.54,1
C00325,Mid-Market,Chat,8.74,31.7,5,3.89,0
C00326,SMB,Chat,23.5,42.62,2,4.12,0
C00327,Enterprise,Chat,18.13,30.0,3,3.88,1
C00328,Mid-Market,Email,10.31,15.57,4,4.65,1
C00329,Mid-Market,Phone,8.58,12.68,0,4.87,1
C00330,SMB,Chat,1.99,3.73,2,4.39,1
C00331,Mid-Market,Email,10.29,15.0,1,4.11,1
C00332,Mid-Market,Phone,14.7,44.63,5,3.76,0
C00333,Mid-Market,Chat,19.56,67.31,0,4.62,1
C00334,Mid-Market,Chat,10.67,31.52,3,3.72,1
C00335,SMB,Phone,28.0,49.54,1,3.78,1
C00336,Enterprise,Chat,5.11,17.73,3,3.76,1
C00337,SMB,Email,20.29,68.05,1,3.36,0
C00338,SMB,Phone,5.27,9.66,5,3.69,1
C00339,SMB,Chat,8.73,13.52,2,3.92,1
C00340,SMB,Phone,8.18,14.62,1,4.34,0
C00341,SMB,Email,12.79,26.29,2,3.18,0
C00342,SMB,Email,9.39,35.63,1,4.34,1
C00343,SMB,Email,3.46,9.37,3,4.16,0
C00344,SMB,Email,9.67,18.63,2,3.53,1
C00345,SMB,Chat,4.13,7.22,3,4.06,1
C00346,Enterprise,Phone,5.45,7.58,1,4.01,1
C00347,SMB,Email,5.92,17.99,4,3.3,1
C00348,SMB,Phone,2.22,3.56,3,4.25,1
C00349,Enterprise,Email,4.43,14.53,5,4.52,0
C00350,Enterprise,Chat,14.54,52.12,3,4.05,1
C00351,Enterprise,Chat,17.89,61.18,0,4.23,1
C00352,SMB,Email,7.88,24.95,1,3.91,1
C00353,SMB,Email,19.66,44.5,4,3.4,1
C00354,SMB,Phone,6.88,13.56,2,4.36,0
C00355,Mid-Market,Chat,16.17,47.46,0,4.11,0
C00356,Mid-Market,Email,13.11,24.32,2,3.38,1
C00357,Mid-Market,Chat,10.42,15.52,1,4.03,0
C00358,SMB,Email,11.54,22.28,2,4.55,1
C00359,SMB,Chat,8.15,10.31,7,4.24,1
C00360,SMB,Email,13.12,40.65,4,3.73,0
C00361,SMB,Email,16.93,62.87,0,4.47,1
C00362,SMB,Email,9.91,35.24,1,4.0,0
C00363,Mid-Market,Chat,17.93,46.54,2,3.37,0
C00364,SMB,Phone,10.59,24.97,2,4.22,1
C00365,SMB,Chat,3.7,8.3,1,4.0,1
C00366,Mid-Market,Phone,20.54,33.82,1,4.06,1
C00367,SMB,Email,9.07,21.04,3,3.16,0
C00368,Mid-Market,Email,12.83,24.93,1,3.91,0
C00369,Enterprise,Email,30.01,90.38,2,3.33,0
C00370,SMB,Chat,3.07,10.52,2,4.35,1
C00371,Mid-Market,Email,21.5,43.9,3,3.8,1
C00372,SMB,Phone,9.87,25.8,3,3.7,1
C00373,Mid-Market,Phone,22.86,59.14,3,3.45,1
C00374,SMB,Phone,12.39,20.73,5,3.82,1
C00375,Enterprise,Phone,6.62,18.52,0,4.28,0
C00376,SMB,Phone,11.88,39.8,4,3.65,1
C00377,Mid-Market,Chat,4.37,15.64,2,3.74,0
C00378,SMB,Phone,13.02,31.43,2,3.5,0
C00379,SMB,Chat,26.35,62.22,0,3.96,0
C00380,SMB,Email,3.35,11.57,3,3.43,0
C00381,SMB,Email,21.28,33.15,1,4.31,1
C00382,SMB,Email,25.3,41.61,3,3.18,0
C00383,SMB,Email,11.49,39.43,4,3.81,0
C00384,Mid-Market,Email,7.87,23.42,3,3.87,0
C00385,Mid-Market,Chat,68.14,223.58,1,2.72,0
C00386,SMB,Chat,5.02,9.84,1,3.8,1
C00387,SMB,Phone,21.16,32.53,5,3.59,0
C00388,Mid-Market,Email,14.01,49.21,4,3.72,0
C00389,SMB,Email,38.3,134.95,1,3.23,0
C00390,SMB,Chat,24.69,65.55,3,4.09,1
C00391,SMB,Email,6.55,18.21,1,3.96,1
C00392,Mid-Market,Phone,11.33,39.17,1,4.2,1
C00393,Enterprise,Phone,7.68,15.9,2,4.05,1
C00394,SMB,Phone,16.66,42.8,1,4.08,1
C00395,SMB,Email,11.7,33.69,2,4.2,1
C00396,Enterprise,Chat,38.67,109.29,2,3.19,0
C00397,SMB,Phone,3.1,6.38,3,3.8,1
C00398,Mid-Market,Phone,33.62,94.75,1,3.39,1
C00399,SMB,Phone,11.53,28.1,1,3.74,0
C00400,Mid-Market,Chat,8.97,33.74,1,4.52,1
C00401,SMB,Chat,38.03,117.51,2,3.53,0
C00402,Mid-Market,Phone,21.84,49.41,2,4.08,1
C00403,SMB,Chat,36.5,134.31,0,3.42,1
C00404,SMB,Chat,17.99,63.16,0,4.02,1
C00405,Mid-Market,Email,25.05,44.54,1,3.79,0
C00406,Enterprise,Chat,6.8,12.97,5,4.36,1
C00407,SMB,Phone,15.28,36.86,2,3.43,1
C00408,Mid-Market,Email,39.04,104.51,5,2.95,0
C00409,Mid-Market,Email,34.89,116.24,3,3.34,1
C00410,Mid-Market,Chat,10.02,34.98,3,3.74,1
C00411,SMB,Chat,12.11,42.98,2,3.68,0
C00412,SMB,Chat,13.33,20.83,1,3.36,1
C00413,SMB,Email,12.55,16.44,1,3.5,0
C00414,Mid-Market,Phone,10.42,34.39,1,3.9,1
C00415,SMB,Email,2.29,7.42,4,3.28,1
C00416,Mid-Market,Phone,1.31,4.57,5,3.87,0
C00417,SMB,Email,14.4,48.09,3,4.28,1
C00418,SMB,Email,14.78,37.72,7,3.66,0
C00419,Enterprise,Email,5.3,9.02,2,3.13,0
C00420,Mid-Market,Email,4.18,9.83,4,3.85,1
C00421,SMB,Phone,31.44,63.36,3,4.03,1
C00422,SMB,Email,2.21,7.85,2,3.7,1
C00423,SMB,Phone,16.0,30.91,2,3.57,1
C00424,SMB,Email,16.44,40.23,4,3.81,1
C00425,Mid-Market,Phone,5.86,17.16,3,4.62,1
C00426,Mid-Market,Email,21.5,74.55,5,2.73,0
C00427,SMB,Email,1.76,5.42,1,4.14,0
C00428,SMB,Chat,7.81,25.92,4,3.5,1
C00429,SMB,Chat,6.58,16.78,1,4.3,1
C00430,Mid-Market,Email,25.35,57.93,2,4.11,1
C00431,SMB,Phone,25.43,64.17,1,3.72,0
C00432,SMB,Chat,11.59,20.47,2,3.98,1
C00433,SMB,Email,11.93,29.65,1,3.87,0
C00434,SMB,Phone,9.35,27.2,3,4.1,1
C00435,Enterprise,Email,23.66,74.5,5,3.94,0
C00436,Mid-Market,Email,5.4,12.8,1,3.58,1
C00437,Mid-Market,Phone,1.62,2.29,2,4.37,0
C00438,SMB,Email,10.76,19.53,4,3.95,1
C00439,Mid-Market,Email,11.39,33.64,3,3.81,1
C00440,Mid-Market,Phone,6.26,14.28,2,4.01,0
C00441,SMB,Phone,14.5,54.53,1,3.56,1
C00442,Mid-Market,Email,16.01,37.38,4,4.01,0
C00443,Mid-Market,Email,9.4,19.67,2,3.61,1
C00444,SMB,Chat,14.05,45.29,2,3.81,1
C00445,Mid-Market,Email,1.17,3.45,5,3.5,1
C00446,SMB,Phone,13.69,27.7,3,3.93,1
C00447,SMB,Email,6.71,12.67,1,4.24,1
C00448,Mid-Market,Phone,3.69,6.45,2,4.37,1
C00449,SMB,Chat,10.44,39.04,2,3.45,1
C00450,Mid-Market,Chat,10.74,21.36,3,4.16,1
C00451,SMB,Email,2.63,3.23,1,3.87,1
C00452,SMB,Phone,4.69,6.82,2,3.46,1
C00453,SMB,Email,8.59,31.39,3,4.47,1
C00454,SMB,Phone,22.6,82.29,3,4.12,1
C00455,SMB,Chat,19.7,25.21,1,4.11,1
C00456,SMB,Phone,18.86,48.11,3,4.19,1
C00457,Enterprise,Email,2.78,7.93,5,4.0,1
C00458,SMB,Phone,18.64,39.16,2,3.23,0
C00459,SMB,Email,9.24,24.76,2,3.19,1
C00460,Enterprise,Chat,8.77,13.2,3,4.22,0
C00461,SMB,Phone,17.46,29.14,3,3.76,1
C00462,SMB,Chat,3.67,6.42,1,4.24,1
C00463,SMB,Chat,3.27,7.63,2,3.88,0
C00464,Mid-Market,Chat,3.92,10.85,3,4.67,1
C00465,Enterprise,Chat,6.47,14.49,3,3.52,1
C00466,Mid-Market,Email,3.29,8.9,2,4.17,1
C00467,Mid-Market,Phone,6.29,10.15,7,3.82,1
C00468,Mid-Market,Chat,2.72,7.58,4,4.25,1
C00469,Mid-Market,Chat,2.29,3.57,3,4.18,1
C00470,Mid-Market,Email,25.9,32.35,5,3.88,1
C00471,Mid-Market,Email,41.26,93.34,3,3.74,1
C00472,SMB,Phone,12.5,16.58,1,3.85,1
C00473,Mid-Market,Phone,15.24,49.06,1,4.35,1
C00474,SMB,Email,8.44,29.38,0,3.98,1
C00475,SMB,Email,10.71,20.16,5,4.39,1
C00476,Mid-Market,Chat,12.49,30.33,3,3.09,1
C00477,SMB,Chat,24.76,31.02,1,3.68,1
C00478,SMB,Email,8.18,22.82,6,3.81,1
C00479,Mid-Market,Chat,3.92,4.88,2,4.71,1
C00480,SMB,Phone,5.64,14.06,3,4.25,1
C00481,SMB,Email,27.36,96.91,3,3.06,0
C00482,SMB,Phone,19.97,56.05,2,3.34,0
C00483,SMB,Chat,15.0,25.29,4,4.19,1
